businessId,businessName,label,V1,V2,wonderful,perfect,generous,favorite,delicious,tasty,reasonable,highly,price,awesome,best,nice,clean,good,quick,fan,excellent,soon,prices,yummy,quality,taste,size,high,husband,amazing,really,offer,great,fantastic,recommend,fresh,little,sure,friendly,coming,try,real,usual,add,find,choice,rice,special,valley,quite,week,love,places,definitely,tried,every,close,super,thin,ever,new,found,way,lot,like,thing,also,mall,flavorful,well,ice,regular,enjoy,portion,made,friend,come,always,bit,staff,disappointed,reason,us,food,everything,top,com,eat,large,lunch,back,end,often,looking,ill,go,place,flavor,make,since,businessRating
jdStuaC_1leN_DNGcQ0yEw,Latilla,High,-0.255695274,-0.045555623,3,1,0,0,1,1,0,0,2,0,0,1,1,7,0,0,3,0,0,0,0,2,4,1,2,1,3,2,1,0,0,3,1,2,0,0,2,3,2,2,0,0,2,0,1,0,0,0,1,0,2,2,0,0,2,2,0,0,1,2,1,2,7,3,0,2,11,0,2,5,3,0,0,0,1,3,0,1,22,10,1,2,0,8,0,1,0,2,0,0,15,10,2,6,1,5,5
lxinwEvcUHFFY9DONHDpnA,Ollie Vaughn's,High,-0.263101516,-0.051611725,2,4,0,1,1,0,0,0,0,1,1,0,0,7,0,2,2,1,0,2,2,0,0,0,1,3,1,0,2,2,0,1,3,0,3,0,3,2,1,4,1,0,0,1,0,2,1,5,0,3,0,1,1,2,3,3,0,0,3,1,0,1,3,1,1,1,5,0,1,3,3,5,3,1,1,1,0,0,14,3,0,0,4,7,1,5,2,7,0,0,7,16,5,1,0,0,5
TiO1u_VYeujfFSldjWvIjw,Feli's Cuban Kitchen,High,-0.268972408,-0.045970082,0,0,0,2,3,0,1,1,1,1,1,3,0,3,0,1,5,0,0,0,1,2,0,2,1,2,1,0,6,1,2,0,0,0,2,1,2,1,1,1,1,0,2,0,0,1,2,2,0,0,0,0,1,1,0,3,3,0,1,0,3,0,0,2,1,1,12,1,2,1,3,2,2,1,1,3,0,1,16,18,0,4,7,9,1,0,1,5,0,0,0,7,3,1,0,1,5
JHYqBNAqVzTK9QEMU9cL0w,Big City Burrito,High,-0.270337302,-0.020985741,0,1,0,0,0,0,1,2,3,3,0,0,0,9,1,0,1,0,1,0,0,1,2,2,0,0,2,0,4,0,4,0,1,0,0,1,2,3,1,1,1,1,4,0,0,0,2,4,2,2,0,1,1,2,6,2,0,0,3,1,3,4,3,0,0,0,11,2,0,0,0,0,0,0,0,1,1,1,8,2,0,2,6,8,1,0,1,7,0,0,7,16,6,0,1,0,5
QtJSfc2kMLacyfyL9Z6NUQ,Lily's Cafe,High,-0.290544201,-0.031779991,1,0,0,2,0,0,0,0,0,0,2,0,0,4,1,0,2,0,0,0,0,1,0,0,0,2,7,0,2,0,0,3,0,0,1,0,2,7,0,1,1,0,1,2,0,0,1,4,0,0,0,3,1,1,5,7,2,0,5,0,6,4,1,1,0,0,3,0,1,0,1,1,1,5,0,0,1,1,10,6,1,0,3,3,0,1,3,5,0,0,5,7,5,1,1,1,5
y1Q3nJR20VMmE51sK5djGQ,Grinders,High,-0.291524062,-0.019222677,0,1,0,1,2,0,0,0,1,0,3,1,1,7,1,0,0,0,1,1,1,0,0,0,0,0,2,0,1,0,1,2,2,0,0,0,2,4,0,2,0,0,1,1,1,0,2,1,0,2,1,2,0,0,4,4,1,1,2,1,5,3,0,0,0,0,5,0,1,0,3,0,2,2,1,0,0,1,20,1,1,4,4,8,0,1,2,1,0,0,3,10,4,1,0,1,5
TRI4ZCk8caJckKkGTvzpIQ,Number1 Sushi,High,-0.288332346,-0.016943209,0,0,0,0,1,2,0,0,4,0,0,0,0,3,0,0,1,0,3,0,0,0,0,0,0,1,5,1,3,0,0,0,0,1,4,0,1,5,1,0,0,0,4,1,0,0,0,2,1,0,0,1,1,3,1,2,1,0,1,0,2,0,4,7,0,1,6,0,2,2,1,5,1,0,0,0,0,0,20,6,0,0,2,7,0,1,0,6,0,0,1,5,11,0,0,1,5
PHWH6_Tv09Q-7pF8b75HFQ,Shinobu Diego,High,-0.28644385,-0.05050651,0,1,0,0,3,1,0,1,0,3,1,0,0,3,0,2,1,0,0,1,0,0,0,1,0,4,1,0,2,0,1,1,0,1,0,0,3,1,0,0,1,0,0,1,0,1,1,0,0,1,2,3,0,0,2,7,0,1,1,1,2,1,1,0,0,1,2,0,0,0,2,0,0,0,1,0,1,0,15,10,1,0,5,6,0,0,4,3,0,1,4,16,2,3,0,3,5
4Ur1TXCPMgicKaYlmw24ow,Saffron JAK Original Stonebread Pizzas,High,-0.290899863,-0.036505566,0,1,0,2,5,0,0,0,1,3,1,0,0,1,0,0,1,0,1,0,1,2,0,1,0,2,0,1,1,0,0,2,2,0,2,0,2,0,0,1,1,0,1,1,0,0,1,2,0,2,2,2,0,4,3,3,2,0,2,0,2,1,2,1,0,0,3,0,0,0,0,2,3,1,1,0,0,0,19,6,0,1,8,8,0,0,0,2,0,0,3,6,1,2,1,0,5
w1vmrM6yrBGj_E-VXCRP_g,Charlen Cafe,High,-0.285994049,-0.029848811,0,0,0,0,0,0,0,1,2,2,0,3,0,7,1,1,1,0,1,0,0,2,0,1,0,1,10,1,4,1,1,0,1,0,3,0,1,11,0,0,0,0,2,3,0,0,2,1,0,0,0,0,3,0,0,1,1,0,1,0,2,0,0,0,0,1,10,0,2,0,0,3,1,1,1,2,0,0,4,4,0,2,4,6,0,1,1,4,0,1,1,7,3,0,0,0,5
C5Z4_e6ckgiyBjK9aXHK_A,Kaleidoscope Juice,High,-0.289985886,-0.023733912,0,0,0,3,1,0,0,1,0,2,1,0,3,3,0,1,0,0,0,0,0,0,0,1,0,4,2,1,3,1,1,0,1,1,0,0,4,2,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,1,2,0,4,1,2,1,0,0,3,1,0,0,13,0,0,0,1,2,0,0,1,2,0,0,12,1,0,1,2,6,1,0,1,4,0,0,4,13,4,1,4,0,5
e2Q2hKNMLfGC-YDygh6EVg,Fatman's Pizza & Grill,High,-0.287313779,-0.032752098,0,1,1,0,3,0,0,0,1,0,6,1,0,5,0,1,1,0,0,1,2,0,2,4,0,1,0,0,1,1,2,0,0,0,1,0,0,1,0,0,0,0,1,0,2,1,0,3,0,3,0,2,1,0,3,5,0,1,1,2,1,2,1,0,0,0,3,0,0,0,0,2,1,1,3,0,0,0,12,0,1,1,4,1,0,0,4,4,0,0,5,14,1,0,3,1,5
tmFFpZxewCwtZGnC4YfcXg,Gentle Strength Cooperative,High,-0.289621224,-0.026480279,0,0,0,2,3,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,2,1,4,0,0,0,1,0,0,0,0,2,0,1,1,0,0,1,3,0,1,3,1,0,0,2,3,1,5,4,6,1,2,2,0,5,0,1,0,1,0,1,0,0,3,0,0,0,0,2,0,0,13,5,1,0,3,5,0,1,1,1,1,1,4,8,4,0,1,1,5
XLezEM1hAnBT9uO-mIRZDA,Thailicious,High,-0.288558644,-0.017803048,0,2,0,0,1,0,1,0,1,0,1,3,2,3,0,0,2,2,0,1,0,0,0,0,0,1,3,0,4,0,1,0,0,1,1,1,1,3,0,0,0,1,1,1,0,0,1,2,2,2,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,15,0,1,0,0,2,1,0,0,0,0,1,7,9,0,0,3,4,0,1,3,4,0,1,3,7,5,0,1,1,5
11NjTU-TnxoEJICfsJ44Rg,Old Dixie's,High,-0.281822903,-0.019276789,0,1,3,1,2,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,0,0,0,2,2,0,0,3,1,0,0,1,1,0,0,0,1,0,2,0,0,3,3,0,1,6,3,1,0,1,0,1,6,1,0,0,3,3,0,1,1,1,1,1,0,0,0,0,0,13,7,1,4,2,5,0,0,2,2,0,0,6,5,1,1,1,1,5
EeqCebn8ulIywYIvtnH0Lw,Kindred Spirits,High,-0.300562884,-0.012368721,0,0,0,0,1,0,0,0,0,0,3,2,2,8,1,1,1,0,0,1,0,2,0,0,0,0,0,0,5,0,0,0,0,0,1,1,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,3,1,0,0,1,1,0,2,4,1,0,1,8,0,1,0,1,2,1,1,2,0,0,0,10,2,0,1,4,6,1,2,0,3,0,0,1,9,2,0,0,0,5
Hi1eTIyZ9QA3RATHrVVl7g,White Cup Coffee,High,-0.292157026,-0.023322554,0,1,0,0,0,1,0,0,0,1,0,1,0,3,0,0,0,2,0,0,0,0,1,0,0,0,1,0,6,0,0,0,2,0,5,1,0,1,2,0,0,0,0,3,0,0,0,0,1,1,1,0,0,0,0,2,0,1,1,1,2,0,0,2,0,1,3,1,0,0,2,6,1,1,0,1,0,0,5,3,0,2,2,8,1,2,1,6,0,1,4,4,3,0,1,0,5
XdMG1S6rviOa_bPm1-SKDg,Pita Palace,High,-0.294785332,-0.029153625,2,1,0,0,1,0,1,0,2,0,2,0,0,4,0,0,1,0,1,0,0,2,0,0,0,1,1,0,0,0,0,2,2,0,3,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,4,3,0,0,2,0,2,3,0,3,0,1,2,0,0,2,1,4,0,2,0,2,1,1,10,5,2,1,0,1,0,0,0,4,0,1,1,6,1,0,1,1,5
faEvaCUMdOaBfXnDHHDrOQ,Subway,High,-0.298869712,0.000339978,0,0,0,1,0,0,0,0,1,0,3,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,4,0,0,1,1,0,0,0,1,2,0,0,2,1,0,0,0,2,0,1,1,3,1,0,20,0,2,1,0,0,0,0,6,1,0,0,0,4,0,5,0,1,0,0,4,3,0,0,2,0,1,1,0,4,0,0,0,5,2,0,0,1,5
QI1VCrTbRxEVBjFeyjM7Xg,Jersey Mike's,High,-0.294222602,-0.024755768,0,0,0,0,2,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,1,1,0,3,0,1,2,0,1,0,0,0,0,0,1,1,2,0,1,1,0,0,0,4,1,1,0,3,1,3,3,0,0,1,0,3,0,0,0,0,3,1,2,0,4,1,0,6,1,0,0,1,7,0,1,1,4,2,1,2,3,3,1,0,0,5
Oi_OT6erHvm6lb_D8bwslw,Queen Creek Olive Mill Oils & Olives,High,-0.305791753,-0.04711867,3,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,3,0,0,0,0,1,0,3,1,0,1,2,0,0,0,5,1,0,0,1,0,0,0,0,0,0,8,0,1,0,0,0,0,2,2,2,0,1,1,1,1,3,1,0,1,1,0,0,0,3,1,0,0,1,1,0,0,4,0,0,1,0,4,0,0,1,2,0,0,5,6,2,1,1,1,5
km0jyeBjpL6g6XV4TCqufw,Polish Goodies,High,-0.304999088,-0.03704003,3,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,1,2,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,4,5,0,0,0,0,4,2,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,10,3,0,0,3,3,0,1,1,2,1,1,2,11,3,0,2,0,5
rM9uulxPgYf5SdanE2LTvg,El Chullo Peruvian Restaurant & Bar,High,-0.301831691,-0.041990656,0,0,0,0,0,0,0,1,0,0,3,1,0,2,0,1,0,1,0,0,0,1,1,1,0,0,0,0,3,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,1,2,0,0,1,2,1,1,2,2,0,3,4,0,1,1,2,2,2,0,0,1,0,0,5,2,1,0,4,3,0,0,2,5,0,0,2,2,3,1,1,0,5
Z-NqgB1w0VpkwYpuO64rnw,Abdeen International Market and Cafe LLC,High,-0.305494953,-0.02716603,0,0,0,0,0,0,0,0,1,1,1,1,0,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,4,0,2,0,0,0,2,1,1,0,0,0,0,1,0,2,3,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,6,1,0,0,0,4,1,1,0,0,0,0,10,2,0,1,2,1,0,0,0,5,0,0,2,4,5,0,0,0,5
bNXbX9sAyRb971A0-tIPrw,Persian King,High,-0.311566381,-0.039905666,1,0,0,0,0,0,0,0,0,1,3,0,0,3,0,2,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,5,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,2,1,2,0,1,0,0,1,1,2,0,0,5,0,0,0,0,1,0,0,0,0,0,0,7,7,0,1,1,2,0,0,0,3,0,1,0,7,6,0,0,1,5
dgARnB68TOefhXvfV4iRdA,Tacos Kissi,High,-0.30881284,-0.045619943,0,0,0,0,3,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,4,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,5,0,1,1,0,0,1,0,11,3,1,0,1,4,0,0,3,2,0,0,4,5,1,3,2,0,5
EwhRz-ODTHpsJ91gBED7TA,Gigi's Caf诈 & BBQ,High,-0.303705877,-0.042403995,0,1,0,0,0,0,0,0,0,1,1,1,0,5,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,2,2,0,0,0,0,4,0,0,1,2,0,0,0,2,2,0,0,0,1,0,0,9,2,0,2,1,6,0,1,2,3,0,1,1,6,3,2,1,0,5
2b3PJCEQLmioiAhoMXs2hw,Lil Cal's,High,-0.312578504,-0.030983558,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,2,0,3,0,1,1,1,1,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,2,1,0,2,3,1,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7,4,1,1,2,6,0,0,1,1,0,0,4,5,6,0,1,2,5
seucL50Dvg0mpBriQLap5w,Blimpie's Subs,High,-0.30156438,0.005607138,0,0,0,1,0,0,0,0,1,0,2,0,3,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,4,1,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,1,0,1,1,0,5,0,0,0,1,0,0,0,2,0,1,0,0,4,0,4,1,3,0,0,1,0,0,0,6,2,0,3,0,4,0,0,0,6,2,0,0,2,5
fgZ2zBACNGcRwyTGCNHWdg,Everything-n-More Cafe,High,-0.301908395,-0.023021343,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,2,0,0,3,3,0,2,2,1,1,3,2,0,0,0,3,0,0,0,1,1,1,1,0,0,0,0,2,3,2,0,3,2,0,3,1,1,0,2,3,2,3,0,0,0,5
C6CkpFQExivxorxMt2ZszA,Karen's Kreamery Caf诈,High,-0.306046865,-0.005825308,0,0,0,0,0,0,1,0,3,0,0,1,1,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,4,0,0,0,2,0,0,0,1,0,1,0,1,0,3,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,2,0,1,0,1,0,0,2,9,0,0,0,1,0,0,1,0,0,0,1,5,0,0,0,1,5,0,0,0,0,0,0,0,3,3,0,1,1,5
yvoQRQbWS1GoXCxftak6Qw,Cafe Lito,High,-0.314356945,-0.033247591,0,0,0,0,1,0,0,0,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1,3,0,0,0,1,0,0,1,3,0,0,3,6,0,0,1,0,0,3,0,0,0,0,1,0,0,0,1,2,1,1,0,0,0,1,3,4,2,0,1,2,0,0,1,3,0,0,0,3,0,0,1,0,5
N-DFmcKLm5BxleZJGoJ-dg,Nogales Hot Dogs,High,-0.313160567,-0.032052984,0,1,0,1,0,1,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,4,0,0,1,2,1,0,0,0,0,0,4,0,0,0,1,0,1,1,1,0,0,0,4,4,0,2,1,5,0,1,0,0,0,0,1,1,4,0,0,0,5
DarcQlLpQOqMxi3tsdffNw,El Goloso Hot Dogs,High,-0.309967414,-0.038862018,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,3,0,2,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,2,1,0,0,0,0,0,8,0,0,1,7,4,1,0,0,4,0,0,1,3,1,0,1,0,5
lbjUXPOwjbFFjrn9HklATg,Jersey Mike's,High,-0.316356775,-0.030946091,1,0,0,0,1,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0,2,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,4,2,0,1,2,5,0,0,2,0,0,0,1,7,1,1,1,1,5
WTf7fOvesYyhMVGfk3C-pw,Riverboat Bingo,High,-0.314148027,-0.026438517,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,1,1,1,0,0,2,0,1,0,0,0,1,0,0,4,2,0,0,0,2,0,0,1,2,1,0,1,1,1,1,0,0,0,1,3,0,0,0,0,2,0,1,0,1,0,0,1,1,0,0,2,3,0,0,0,3,0,0,0,4,3,0,1,0,5
JnpRIq3e3C8NxhmTLQNd0A,Onyx Bar & Lounge,High,-0.312520766,-0.028855437,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,3,0,1,1,2,0,0,0,0,0,0,0,2,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,3,0,1,0,0,0,0,0,5,0,1,0,2,0,0,2,0,1,0,0,4,2,0,0,3,3,0,0,1,1,0,0,3,2,1,0,0,0,5
TZhv0cOt0UHoORlG0I5JHg,Pak Afghan Halal Restaurant & Catering,High,-0.306232522,-0.03172471,0,0,0,0,2,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,1,8,6,0,0,4,2,0,1,1,3,1,1,1,0,0,1,1,0,5
5CWKlH0uyOUF5EZIyewMXg,Chi Chi's Tacos,High,-0.315264439,-0.043269473,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,1,0,1,1,0,0,0,3,0,0,2,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,4,1,0,2,1,5,0,0,0,2,0,0,1,2,2,2,3,0,5
cxgERbHMIIfw8vo-eTOb-A,Crate Coffee Market,High,-0.314746343,-0.03358398,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,4,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8,0,0,2,2,1,0,0,2,1,0,0,3,1,0,2,0,0,5
iA5_BIxzVc6KBg1YcFy9sg,Wildflower Bread Company,High,-0.306977119,-0.021826225,0,1,1,0,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,5,0,0,0,0,2,1,0,0,2,0,0,3,1,0,0,3,3,0,2,0,2,0,0,0,3,0,1,1,0,5
DYpOhSGWDqoO9yNxaIjSyg,Papa Murphys,High,-0.312951824,-0.014020204,0,1,0,1,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,1,0,1,2,2,0,0,0,1,0,0,0,0,2,0,0,1,0,2,0,1,1,0,0,1,1,1,0,0,0,0,1,2,1,0,0,2,1,0,1,0,2,0,0,7,0,0,0,0,1,0,0,0,1,0,0,1,2,1,0,1,0,5
C90nLkXxPxv_1y7cL4a_7Q,PHX Burrito House,High,-0.310664538,-0.016766558,0,0,0,0,1,1,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,6,0,0,0,1,1,0,1,2,3,0,1,1,2,2,0,0,1,5
4GhMwy7MYLPODSQsTm0KWA,Red Leg Burgers & Bratwurst,High,-0.316752949,-0.032202406,1,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,3,0,1,0,0,0,0,1,0,0,0,1,4,2,0,0,0,5
