caseid,dAge,dAncstry1,dAncstry2,cat_Avail,cat_Citizen,cat_Class,dDepart,cat_Disabl1,cat_Disabl2,cat_English,cat_Feb55,cat_Fertil,dHispanic,dHour89,dHours,cat_Immigr,dIncome1,dIncome2,dIncome3,dIncome4,dIncome5,dIncome6,dIncome7,dIncome8,dIndustry,cat_Korean,cat_Lang1,cat_Looking,cat_Marital,cat_May75880,cat_Means,cat_Military,cat_Mobility,cat_Mobillim,dOccup,cat_Othrserv,cat_Perscare,dPOB,dPoverty,dPwgt1,cat_Ragechld,dRearning,cat_Relat1,cat_Relat2,cat_Remplpar,cat_Riders,cat_Rlabor,cat_Rownchld,dRpincome,cat_RPOB,cat_Rrelchld,cat_Rspouse,cat_Rvetserv,cat_School,cat_Sept80,cat_Sex,cat_Subfam1,cat_Subfam2,cat_Tmpabsnt,dTravtime,cat_Vietnam,dWeek89,cat_Work89,cat_Worklwk,cat_WWII,cat_Yearsch,cat_Yearwrk,dYrsserv
10010,5,11,1,0,0,1,3,2,2,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,6,0,2,0,0,0,1,4,1,2,1,0,2,0,2,1,0,4,0,0,0,1,1,0,4,21,0,1,0,1,0,0,0,0,0,4,0,2,1,1,0,11,1,0
10011,4,0,1,0,0,1,5,2,2,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,7,0,2,0,0,0,1,4,1,2,1,0,2,0,2,1,3,2,1,0,0,1,1,0,2,10,0,1,0,1,0,1,0,0,0,2,0,2,1,1,0,10,1,0
10012,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,112,0,0,1,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0
10013,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,2,1,4,0,2,0,121,0,0,1,0,10,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0
10014,3,11,1,0,0,6,4,2,2,0,0,1,0,2,2,0,0,1,0,0,0,0,0,0,3,0,2,0,3,0,1,4,2,2,5,0,2,0,1,2,4,2,10,0,0,1,1,0,2,10,0,5,0,1,0,1,0,0,0,3,0,1,1,1,0,7,1,0
10015,4,3,1,0,0,1,3,2,2,1,0,0,0,3,5,0,3,0,0,1,0,0,0,0,4,0,1,0,0,1,1,2,2,2,2,0,2,0,2,0,0,4,0,0,0,1,1,0,4,10,0,1,3,1,1,0,0,0,0,3,0,2,1,1,0,11,1,1
10016,4,11,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,4,0,0,4,1,1,0,0,1,0,0,2,0,0,12,0,0,0,6,0,2,23,0,6,0,1,0,0,0,0,3,0,0,0,2,0,0,5,7,0
10017,7,1,1,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,2,0,0,0,4,1,2,0,0,2,0,2,1,4,0,1,0,0,0,6,0,2,10,0,1,0,1,0,1,0,0,3,0,0,0,2,2,0,6,6,0
10018,4,0,1,0,0,1,2,2,2,0,0,0,0,3,3,0,3,0,0,1,0,0,0,0,4,0,2,0,0,0,1,4,1,2,2,0,1,0,2,0,0,4,0,0,0,1,1,0,4,10,0,1,0,3,0,0,0,0,0,5,0,2,1,1,0,12,1,0
10019,6,1,1,0,0,3,3,2,2,0,0,0,0,3,3,0,3,0,0,1,0,0,0,0,9,1,2,0,0,0,1,2,1,2,1,0,2,0,2,2,0,4,0,0,0,2,1,0,4,10,0,1,8,1,0,0,0,0,0,1,0,2,1,1,0,14,1,1
10020,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,2,1,0,0,2,0,121,0,0,1,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10021,6,11,1,0,0,1,1,2,2,0,0,0,0,4,5,0,2,0,0,0,0,0,0,0,4,0,2,0,0,0,1,3,1,2,1,0,2,0,2,0,0,3,0,0,0,1,1,0,3,10,0,1,0,1,0,0,0,0,0,4,0,2,1,1,0,10,1,0
10022,3,1,2,0,0,1,5,2,2,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,5,0,2,0,0,0,1,4,1,2,6,0,2,0,2,0,0,2,2,0,0,1,1,0,2,10,0,2,0,1,0,0,2,1,0,5,0,2,1,1,0,10,1,0
10023,3,9,1,0,3,1,2,2,2,2,0,1,0,3,3,5,1,0,0,1,0,0,0,0,5,0,1,0,4,0,2,4,1,2,2,0,2,3,2,2,4,2,2,0,0,0,1,0,3,51,0,6,0,1,0,1,0,0,0,5,0,2,1,1,0,11,1,0
10024,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,2,1,4,0,2,0,211,0,0,1,0,10,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0
10025,6,1,2,0,0,1,3,2,2,0,0,0,0,4,3,0,3,0,0,0,0,0,0,0,6,0,2,0,0,0,1,4,1,2,6,0,2,0,2,1,0,4,0,0,0,1,1,0,4,10,0,1,0,1,0,0,0,0,0,3,0,1,1,1,0,15,1,0
10026,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,112,0,0,1,0,23,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10027,3,11,1,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4,1,2,0,0,2,0,2,1,2,0,1,0,0,0,6,0,0,10,0,1,0,1,0,1,0,0,3,0,0,0,2,2,0,10,7,0
10028,3,1,2,0,0,4,3,2,2,0,0,1,0,3,3,0,1,0,0,0,0,0,0,0,10,0,2,0,4,0,10,4,2,2,2,0,2,0,1,1,4,2,9,0,0,0,1,0,2,10,0,6,0,1,0,1,0,0,0,4,0,1,1,1,0,10,1,0
10029,3,0,1,0,0,1,3,2,2,0,0,0,0,3,3,0,2,0,0,0,0,0,0,0,3,0,2,0,0,0,1,4,2,2,6,0,2,0,2,1,0,3,0,0,0,1,1,0,3,24,0,1,0,1,0,0,0,0,0,4,0,1,1,1,0,11,1,0
10030,7,1,1,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,4,1,2,0,0,2,0,2,0,4,0,7,6,0,0,6,0,2,10,0,3,0,1,0,1,0,0,3,0,0,0,2,2,0,10,6,0
10031,7,11,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,4,1,1,0,0,1,0,1,1,0,0,0,0,0,0,6,0,2,10,0,1,0,1,0,0,0,0,3,0,0,0,2,2,0,4,6,0
10032,3,1,2,0,0,1,3,2,2,0,0,1,0,4,4,0,1,0,0,0,0,0,0,0,9,0,2,0,4,0,1,4,2,2,2,0,2,0,2,3,4,2,4,0,0,1,1,0,2,10,0,6,0,1,0,1,0,0,0,5,0,1,1,1,0,10,1,0
10033,4,1,1,0,0,1,5,2,2,0,0,0,0,5,5,0,2,0,0,0,0,0,0,0,7,0,2,0,0,0,1,4,2,2,2,0,2,0,2,1,0,3,0,0,0,1,1,0,3,23,0,1,0,1,0,0,0,0,0,1,0,2,1,1,0,10,1,0
10034,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,2,2,0,0,2,0,111,0,0,1,0,10,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0
10035,7,0,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,4,1,1,0,0,1,0,2,1,4,0,1,0,0,0,6,0,2,22,0,1,0,1,0,1,0,0,0,0,0,0,2,2,0,5,7,0
10036,7,1,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,2,2,0,0,0,2,1,2,2,0,2,0,2,1,0,0,1,0,0,0,6,0,3,10,0,1,10,1,0,0,0,0,3,0,0,0,2,2,1,11,4,1
10037,7,0,1,0,0,5,0,2,2,0,0,0,0,3,0,0,3,1,0,1,1,0,1,1,10,0,2,2,0,0,0,2,1,2,1,0,2,0,2,1,0,4,0,0,0,0,6,0,5,24,0,1,10,2,0,0,0,0,3,0,0,1,1,2,1,14,2,2
10038,6,1,2,0,0,1,5,2,2,0,0,5,0,3,2,0,2,0,0,0,0,0,0,0,4,0,2,0,1,0,1,4,1,2,6,0,2,0,2,1,4,3,0,0,0,2,1,0,3,10,0,3,0,1,0,1,0,0,0,3,0,1,1,1,0,8,1,0
10039,4,1,3,0,0,1,4,2,2,0,0,3,0,1,1,0,2,0,0,0,0,0,0,0,9,0,2,0,0,0,1,4,2,2,2,0,2,0,2,2,2,3,1,0,0,1,1,0,3,10,0,1,0,1,0,1,0,0,0,4,0,2,1,1,0,10,1,0
10040,3,1,2,0,0,1,5,2,2,0,0,0,0,3,5,0,2,0,0,1,0,0,0,0,5,0,2,0,3,0,1,4,2,2,6,0,2,0,2,2,0,3,9,0,0,1,1,0,3,21,0,5,0,1,0,0,0,0,0,2,0,2,1,1,0,10,1,0
10041,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,2,2,0,0,3,0,111,0,0,1,0,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0
10042,4,11,1,0,0,3,0,2,2,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,9,0,2,2,0,0,0,4,2,2,2,0,2,0,2,1,4,2,0,0,0,0,3,0,2,21,0,1,0,1,0,1,0,0,1,0,0,1,1,2,0,11,2,0
10043,5,11,1,4,0,3,0,1,2,0,0,0,0,3,0,0,1,0,0,0,0,1,0,1,9,0,2,1,0,0,0,2,1,2,3,0,2,0,2,0,0,2,0,0,0,0,3,0,2,10,0,1,4,1,0,0,0,0,1,0,1,1,1,2,0,5,2,1
10044,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,2,1,0,0,2,0,111,0,0,1,0,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
10045,2,1,2,0,0,1,5,2,2,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,7,0,2,0,4,0,1,4,1,2,3,0,2,0,2,0,4,2,2,0,111,1,1,1,2,10,1,6,0,2,0,1,0,0,0,1,0,1,1,1,0,8,1,0
10046,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,2,1,0,0,2,0,122,0,0,1,0,10,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,5,0,0
10047,5,1,2,0,0,5,4,2,2,0,0,1,0,3,3,0,3,0,0,1,0,0,0,0,10,0,2,0,4,0,1,4,1,2,1,0,2,0,2,1,4,4,0,0,0,1,1,0,5,23,0,6,0,1,0,1,0,0,0,3,0,2,1,1,0,15,1,0
10048,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,111,0,0,1,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10049,4,1,1,0,0,1,0,2,2,0,0,4,0,3,0,0,1,0,0,0,0,1,0,0,8,0,2,2,0,0,0,4,2,2,2,0,2,0,1,1,1,2,1,0,0,0,6,0,2,24,0,1,0,1,0,1,0,0,3,0,0,1,1,2,0,10,2,0
10050,3,1,2,0,0,1,0,2,2,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,5,0,2,2,4,0,0,4,2,2,2,0,2,0,0,1,0,2,13,0,0,0,6,0,2,10,0,6,0,2,0,0,0,0,3,0,0,1,1,2,0,10,2,0
10051,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,111,0,0,1,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10052,5,11,1,0,0,5,1,1,2,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,5,0,2,0,2,0,1,2,1,2,2,0,2,0,2,0,0,2,0,0,0,1,1,0,2,22,0,4,4,1,0,0,0,0,0,4,1,2,1,1,0,10,1,1
10053,5,1,1,0,0,1,5,2,2,0,0,6,0,5,2,0,1,0,0,0,0,0,0,0,7,0,2,0,0,0,1,4,1,2,3,0,2,0,2,0,2,2,1,0,0,1,1,0,2,10,0,1,0,1,0,1,0,0,0,3,0,2,1,1,0,10,1,0
10054,7,1,1,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,4,1,2,0,0,2,0,2,1,4,0,1,0,0,0,6,0,2,23,0,1,0,1,0,1,0,0,3,0,0,0,2,2,0,5,6,0
10055,3,3,1,0,0,0,0,2,2,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,4,1,2,0,0,2,0,2,2,3,0,1,0,0,0,6,0,2,10,0,1,0,1,0,1,0,0,3,0,0,0,2,2,0,9,7,0
10056,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,2,2,4,0,2,0,112,0,0,1,0,10,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,4,0,0
10057,3,9,1,0,4,0,0,2,2,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,2,2,0,0,2,3,2,1,1,0,1,0,0,0,6,0,0,52,0,1,0,1,0,1,0,0,3,0,0,0,2,2,0,14,7,0
10058,6,0,1,0,0,7,4,2,2,0,0,0,0,5,5,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,1,3,2,2,4,0,2,0,2,1,0,5,0,0,0,1,1,0,5,10,0,1,0,1,0,0,0,0,0,1,0,2,1,1,0,7,1,0
10059,6,1,1,0,0,6,0,2,2,0,1,0,0,5,5,0,0,1,0,1,0,0,0,0,8,0,2,0,0,0,11,2,1,2,2,0,2,0,2,1,0,5,0,0,0,0,1,0,5,21,0,1,7,1,0,0,0,0,0,0,0,2,1,1,0,11,1,1
10060,6,1,1,0,0,1,3,2,2,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,4,0,2,0,2,0,1,3,1,2,5,0,2,0,2,2,0,4,0,0,0,1,1,0,4,24,0,4,0,1,0,0,0,0,0,5,0,1,1,1,0,10,1,0
10061,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,2,1,0,0,2,0,121,0,0,1,0,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0
10062,6,1,1,0,0,1,2,2,2,0,0,5,0,3,3,0,1,0,0,0,0,0,0,0,8,0,2,0,0,0,1,4,1,2,3,0,2,0,2,1,4,2,1,0,0,1,1,0,2,22,0,1,0,1,0,1,0,0,0,4,0,2,1,1,0,10,1,0
10063,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,2,1,4,0,2,0,112,0,0,1,0,21,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,5,0,0
10064,7,11,1,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,4,1,2,0,0,2,0,2,2,4,0,1,0,0,0,6,0,2,21,0,1,0,1,0,1,0,0,3,0,0,0,2,2,0,10,6,0
10065,3,8,1,0,4,4,4,2,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,9,0,1,0,4,0,10,4,2,2,2,0,2,3,1,2,0,0,9,0,0,0,1,0,0,52,0,6,0,2,0,0,0,0,0,1,0,0,2,1,0,14,1,0
10066,6,11,1,0,0,1,3,2,2,0,0,3,0,2,2,0,2,0,0,1,0,0,0,0,7,0,2,0,2,0,10,4,1,2,2,0,2,0,2,1,4,3,0,0,0,0,1,0,3,22,0,4,0,1,0,1,0,0,0,5,0,2,1,1,0,10,1,0
10067,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,2,1,4,0,2,0,121,0,0,1,0,22,1,0,0,2,0,1,0,0,0,0,0,0,0,2,0,5,0,0
10068,4,1,1,0,0,2,0,2,2,0,0,5,0,3,0,0,1,0,0,0,0,1,0,0,9,0,2,2,1,0,0,4,2,2,3,0,2,0,1,0,3,2,0,0,0,0,6,0,2,22,0,3,0,2,0,1,0,0,3,0,0,1,1,2,0,13,2,0
10069,6,11,1,0,0,2,0,2,2,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,9,1,2,2,0,0,0,2,2,2,1,0,2,0,2,1,0,3,0,0,0,0,6,0,3,10,0,1,8,1,0,0,0,0,3,0,0,2,1,2,0,13,1,1
10070,4,2,2,0,0,7,4,2,2,0,0,0,0,5,5,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,2,2,1,0,2,0,2,1,0,4,0,0,0,1,1,0,4,10,0,1,4,1,0,0,0,0,0,5,1,1,1,1,0,11,1,1
10071,4,1,1,0,0,2,3,2,2,0,0,0,0,3,3,0,2,0,0,1,0,0,0,0,9,0,2,0,4,0,1,4,2,2,1,0,2,0,2,1,0,3,9,0,0,1,1,0,3,10,0,6,0,1,0,0,0,0,0,4,0,2,1,1,0,15,1,0
10072,5,3,1,0,3,1,4,2,2,1,0,0,0,3,3,8,2,0,0,0,0,0,0,0,8,0,1,0,0,0,1,2,1,2,2,0,2,4,1,1,0,3,0,0,0,1,1,0,3,51,0,1,4,1,0,0,0,0,0,6,1,2,1,1,0,14,1,1
10073,4,1,1,0,0,1,2,2,2,0,0,4,0,3,3,0,1,0,0,0,0,0,0,0,4,0,2,0,2,0,1,4,2,2,6,0,2,0,2,1,4,2,10,0,0,1,1,0,2,10,0,4,0,1,0,1,0,0,0,2,0,2,1,1,0,8,1,0
10074,4,11,1,0,0,4,3,2,2,0,0,1,0,3,4,0,1,0,0,0,0,0,0,0,10,0,2,0,0,0,1,4,2,2,1,0,2,0,2,1,4,2,1,0,0,1,1,0,2,24,0,1,0,1,0,1,0,0,0,4,0,2,1,1,0,11,1,0
10075,4,9,1,0,4,1,4,2,2,1,0,3,0,1,1,3,1,0,0,0,0,0,0,0,8,0,1,0,0,0,1,4,2,2,2,0,2,3,2,1,2,2,1,0,0,1,1,0,2,52,0,1,0,2,0,1,0,0,0,3,0,1,1,1,0,14,1,0
10076,7,1,2,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,4,1,2,0,0,2,0,2,1,4,0,1,0,0,0,6,0,2,10,0,1,0,1,0,1,0,0,3,0,0,0,2,2,0,11,6,0
10077,6,1,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,4,0,0,4,2,1,0,0,2,0,2,1,4,0,11,0,0,0,6,0,2,21,0,6,0,1,0,1,0,0,3,0,0,0,2,2,0,5,6,0
10078,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,2,1,4,0,2,0,111,0,0,1,0,23,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0
10079,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,2,0,0,2,0,2,2,0,0,2,0,111,0,0,1,0,10,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0
10080,5,1,2,0,0,1,3,2,2,0,0,1,0,3,5,0,1,0,0,0,0,0,0,0,9,0,2,0,2,0,1,4,2,2,1,0,2,0,2,1,4,2,0,0,0,1,1,0,2,24,0,4,0,1,0,1,0,0,0,1,0,1,1,1,0,11,1,0
10081,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,4,0,2,0,111,0,0,1,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10082,3,1,1,0,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,2,0,0,0,4,2,2,3,0,2,0,2,1,4,0,1,0,0,0,6,0,0,22,0,1,0,1,0,1,0,0,3,0,0,0,2,2,0,11,3,0
10083,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,2,1,0,0,2,0,111,0,0,1,0,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0
10084,5,1,1,0,0,7,4,2,2,0,0,4,0,3,2,0,2,0,0,1,0,0,0,0,7,0,2,0,0,0,1,4,1,2,2,0,2,0,2,1,4,3,1,0,0,1,1,0,4,10,0,1,0,1,0,1,0,0,0,1,0,2,1,1,0,10,1,0
10085,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,2,2,0,0,2,0,122,0,0,1,0,21,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0
10086,5,1,1,0,0,3,0,2,2,0,0,4,0,1,1,0,1,0,0,0,0,0,0,0,10,0,2,0,0,0,11,4,1,2,1,0,2,0,2,1,2,2,1,0,0,0,1,0,2,10,0,1,0,1,0,1,0,0,0,0,0,2,1,1,0,10,1,0
10087,4,10,1,0,4,0,0,2,2,3,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,2,2,0,0,2,6,1,2,2,0,1,0,0,0,6,0,0,52,0,1,0,1,0,1,0,0,3,0,0,0,2,2,0,10,7,0
10088,7,11,1,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,4,1,2,0,0,2,0,2,1,4,0,0,0,0,0,6,0,2,10,0,3,0,1,0,1,0,0,3,0,0,0,2,2,0,5,6,0
10089,4,1,2,0,0,5,3,2,2,0,0,0,0,3,3,0,3,0,0,1,0,0,0,0,10,0,2,0,0,0,1,4,2,2,2,0,2,0,2,1,0,4,0,0,0,2,1,0,4,23,0,1,0,1,0,0,0,0,0,1,0,2,1,1,0,6,1,0
10090,4,1,1,0,0,1,3,2,2,0,0,1,0,5,5,0,3,0,0,1,0,0,0,0,9,0,2,0,4,0,4,4,2,2,1,0,2,0,2,1,4,4,0,0,0,0,1,0,4,10,0,6,0,1,0,1,0,0,0,5,0,2,1,1,0,14,1,0
10091,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,222,0,0,1,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10092,5,1,12,0,0,1,2,2,2,0,0,2,0,3,5,0,2,0,0,0,0,0,0,0,4,0,2,0,0,0,1,4,1,2,1,0,2,0,2,1,2,3,1,0,0,1,1,0,3,10,0,1,0,1,0,1,0,0,0,4,0,2,1,1,0,10,1,0
