communityname,state,countyCode,communityCode,fold,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
cat480.0,cat11.0,31.0,47600.0,3.0,20412.0,2.57,1.15,78.25,16.89,11.17,11.19,22.26,10.56,17.04,20412.0,100.0,45999.0,74.86,0.8,57.29,32.25,2.44,21.98,53055.0,21764.0,22916.0,11580.0,30387.0,18201.0,14943.0,15730.0,1085.0,5.4,6.32,15.9,24.29,3.19,60.09,8.17,21.65,8.21,30.08,7.62,27.36,10.72,9.26,2.98,79.05,77.17,92.59,79.52,51.73,63.9,147.0,0.97,5362.0,14.9,23.42,34.17,37.93,3.91,6.15,8.98,9.96,67.45,4.65,4.03,2.99,2.53,2.64,2.34,66.88,5.26,41.1,3.0,225.0,97.24,64.12,0.44,20.44,1957.0,0.38,0.11,323900.0,410200.0,500001.0,176101.0,629.0,770.0,982.0,353.0,838.0,31.6,23.4,11.3,0.0,0.0,26.27,51.44,59.1,79.96,90.48,129.0,118.95,111.0,112.34,85393.0,135183.3,367.0,128.6,81.68,92.74,1.81,19.76,0.17,9.65,8.0,13.0,92.7,3.3,6133.4,5.08,644.0,1.1688362E7,96.85,10.0,0.0,138001.09,1.0,4.77,4.0,19.07,27.0,128.74,29.0,138.27,97.0,462.5,369.0,1759.4,66.0,314.69,3.0,14.3,290.85,2550.9
cat481.0,cat19.0,31.0,47600.0,3.0,52721.0,2.77,18.06,79.32,1.51,2.63,15.32,30.2,14.54,8.11,52718.0,100.0,25918.0,81.59,0.72,33.51,20.66,5.77,19.7,29709.0,11326.0,12790.0,5396.0,12472.0,6456.0,6753.0,7670.0,8110.0,15.96,5.73,18.56,15.87,7.25,63.81,10.19,23.68,11.3,23.96,10.48,26.78,14.72,12.71,3.15,71.91,66.83,73.57,73.02,61.77,70.01,1867.0,4.68,1338.0,6.05,12.03,19.21,24.89,0.15,0.31,0.49,0.63,95.06,0.32,4.28,3.22,2.67,2.71,2.63,58.07,4.32,43.52,3.0,2783.0,87.24,57.38,18.29,42.15,1968.0,5.77,0.58,43400.0,58400.0,78100.0,34700.0,214.0,293.0,385.0,171.0,376.0,26.6,20.1,12.0,13.0,1.0,2.54,50.5,45.07,66.56,80.74,118.0,215.49,91.0,166.18,38601.0,70492.5,327.1,215.5,90.34,88.14,9.32,0.85,0.85,11.02,6.0,7.0,38.3,39.4,1338.2,0.28,123.0,3832621.0,77.12,5.0,5.08,69990.7,9.0,16.44,21.0,38.35,75.0,136.96,483.0,882.05,558.0,1019.01,2550.0,4656.77,215.0,392.63,18.0,32.87,1073.8,6101.28
cat482.0,cat5.0,35.0,7300.0,3.0,12353.0,2.38,0.32,97.8,0.4,0.52,14.9,26.97,13.84,16.4,0.0,0.0,17985.0,64.92,1.07,35.85,35.65,12.54,13.6,24635.0,10180.0,10337.0,1800.0,2446.0,6707.0,2042.0,1329.0,2500.0,21.03,14.38,26.87,13.79,8.38,53.41,10.6,31.33,13.72,24.0,10.06,30.34,13.96,12.26,2.99,62.29,62.04,67.52,60.57,68.17,74.21,326.0,2.77,112.0,0.89,0.89,0.89,0.89,0.01,0.01,0.01,0.01,96.57,0.07,4.07,2.42,2.28,2.52,1.99,61.09,2.33,57.43,2.0,286.0,94.78,55.38,2.8,30.42,1953.0,6.43,0.77,29900.0,41400.0,56900.0,27000.0,200.0,274.0,372.0,172.0,323.0,29.6,16.7,12.2,0.0,1.0,0.91,77.75,47.17,78.03,92.1,129.0,118.95,111.0,112.34,85393.0,135183.3,367.0,128.6,81.68,92.74,1.81,19.76,0.17,9.65,8.0,13.0,92.7,7.1,1732.1,0.58,644.0,1.1688362E7,96.85,10.0,0.0,138001.09,0.0,0.0,8.0,70.29,5.0,36.6,17.0,124.45,173.0,1266.47,775.0,5673.5,64.0,468.52,3.0,21.96,46.52,7430.45
cat291.0,cat2.0,71.0,41216.0,3.0,55551.0,2.62,12.24,70.87,1.96,20.56,16.38,32.09,16.79,11.04,55551.0,100.0,22210.0,74.84,0.49,35.4,27.96,13.56,15.54,27002.0,10693.0,12595.0,7320.0,8393.0,7129.0,4860.0,5023.0,11059.0,20.93,15.0,38.62,13.47,6.47,59.68,27.16,21.77,25.8,19.04,12.45,42.38,16.39,14.52,3.2,54.51,46.91,55.97,56.73,52.97,62.08,4983.0,11.97,2300.0,12.04,18.43,25.52,39.52,0.5,0.76,1.06,1.64,78.43,4.83,8.4,5.04,2.49,2.54,2.44,48.17,5.3,50.02,2.0,1279.0,94.31,47.2,5.47,36.28,1939.0,7.75,0.75,45800.0,59200.0,73400.0,27600.0,252.0,329.0,403.0,151.0,390.0,27.5,20.1,12.5,348.0,0.0,4.14,70.3,45.03,82.26,88.01,126.0,217.93,119.0,205.83,38927.0,67329.1,308.9,217.9,78.01,92.86,4.76,2.38,0.0,7.14,0.0,9.0,55.8,7.6,7270.3,5.48,37.0,5938633.0,94.44,0.0,0.0,102716.1,11.0,19.03,45.0,77.83,273.0,472.19,177.0,306.14,882.0,1525.53,2784.0,4815.28,313.0,541.37,30.0,51.89,875.19,6934.07
cat483.0,cat19.0,31.0,47600.0,3.0,70580.0,2.63,41.64,57.3,0.53,1.15,15.19,27.58,14.01,12.09,70580.0,100.0,21225.0,71.91,0.54,29.48,28.33,11.65,15.68,26204.0,11475.0,15087.0,6372.0,8388.0,10343.0,41208.0,16320.0,16172.0,23.57,15.01,30.58,18.36,10.56,52.17,15.94,29.02,13.74,26.01,11.35,31.55,14.96,13.29,3.17,62.74,57.01,62.98,63.56,57.06,61.62,3619.0,5.87,634.0,14.83,17.03,25.08,36.12,0.13,0.15,0.23,0.32,88.49,0.98,6.25,4.32,2.57,2.67,2.44,60.55,4.64,46.17,3.0,3029.0,89.85,58.4,6.17,51.17,1961.0,6.39,0.63,36300.0,52200.0,75100.0,38800.0,148.0,254.0,340.0,192.0,339.0,27.3,18.5,13.1,15.0,6.0,0.9,80.8,55.31,87.04,93.12,129.0,177.01,14.0,19.21,39179.0,53760.4,303.7,177.0,80.56,75.97,23.26,0.0,0.0,23.26,9.0,12.0,147.3,33.2,2123.3,0.93,83.0,4326769.0,10.85,0.0,6.98,59370.8,12.0,16.47,30.0,41.17,165.0,226.41,441.0,605.13,940.0,1289.84,2932.0,4023.22,314.0,430.86,14.0,19.21,889.17,5763.14
cat484.0,cat7.0,17.0,2130.0,3.0,12066.0,2.62,1.9,95.3,2.06,1.97,10.31,24.69,10.91,8.92,10360.0,85.86,51173.0,88.9,1.0,54.21,18.71,4.0,12.76,57052.0,21912.0,21819.0,26403.0,21736.0,29029.0,7922.0,14635.0,229.0,1.92,3.23,10.6,36.21,5.21,74.57,18.76,24.15,8.71,39.82,8.55,30.23,12.63,10.66,3.06,82.36,80.32,95.87,85.8,63.43,71.8,117.0,1.52,809.0,6.43,14.59,17.31,21.51,0.43,0.98,1.16,1.44,91.93,1.22,3.26,2.37,2.59,2.73,2.19,78.05,0.96,41.46,3.0,214.0,95.56,74.0,1.4,18.22,1970.0,0.59,0.19,143100.0,167800.0,206400.0,63300.0,448.0,624.0,745.0,297.0,721.0,22.4,24.2,16.3,0.0,0.0,6.7,67.41,55.14,81.86,89.64,129.0,118.95,111.0,112.34,85393.0,135183.3,367.0,128.6,81.68,92.74,1.81,19.76,0.17,9.65,8.0,13.0,92.7,12.9,935.8,3.31,644.0,1.1688362E7,96.85,10.0,0.0,138001.09,0.0,0.0,0.0,0.0,1.0,8.0,43.0,343.81,25.0,199.89,70.0,559.69,2.0,15.99,0.0,0.0,351.8,775.57
cat485.0,cat2.0,21.0,64544.0,3.0,12777.0,2.79,1.11,97.96,0.8,0.33,20.03,28.18,18.99,16.31,9277.0,73.08,27154.0,66.51,0.61,56.82,37.21,4.55,27.62,32701.0,12687.0,12785.0,6875.0,0.0,9195.0,0.0,15971.0,830.0,7.54,8.81,21.41,17.87,5.82,46.17,12.78,26.94,12.08,31.92,5.44,31.76,6.45,5.98,2.92,84.55,83.13,89.47,84.97,60.13,67.22,61.0,0.64,222.0,0.0,24.77,40.99,40.99,0.0,0.43,0.71,0.71,95.42,0.49,2.14,1.57,2.42,2.61,1.85,81.38,0.31,33.47,3.0,183.0,96.16,75.64,1.64,57.38,1964.0,1.4,0.5,44900.0,59700.0,82200.0,37300.0,200.0,270.0,327.0,127.0,354.0,23.3,18.6,12.4,23.0,0.0,1.75,89.08,63.21,81.87,95.98,129.0,118.95,111.0,112.34,85393.0,135183.3,367.0,128.6,81.68,92.74,1.81,19.76,0.17,9.65,8.0,13.0,92.7,20.2,631.1,0.86,644.0,1.1688362E7,96.85,10.0,0.0,138001.09,0.0,0.0,4.0,28.22,0.0,0.0,72.0,508.01,52.0,366.89,238.0,1679.25,15.0,105.84,3.0,21.17,536.23,2173.15
cat486.0,cat11.0,31.0,47600.0,3.0,48290.0,2.63,0.77,71.48,23.45,10.66,13.88,24.44,12.17,14.51,48290.0,100.0,47347.0,76.91,1.37,58.06,26.65,3.58,16.73,57238.0,25441.0,28492.0,21896.0,7717.0,18474.0,13736.0,15675.0,2501.0,5.23,4.69,11.12,36.39,3.63,60.14,12.06,26.9,4.91,41.76,7.68,28.65,11.51,9.73,3.1,80.37,79.64,91.71,83.75,47.09,59.63,307.0,0.89,13327.0,22.29,33.32,48.3,55.35,6.15,9.2,13.33,15.27,67.33,6.21,4.91,3.53,2.6,2.83,2.23,67.04,6.06,48.6,3.0,1131.0,94.19,61.57,2.92,24.14,1957.0,0.42,0.36,316400.0,440800.0,500001.0,183601.0,538.0,657.0,857.0,319.0,716.0,28.7,24.0,11.3,0.0,2.0,27.6,41.82,52.33,82.72,86.27,129.0,118.95,111.0,112.34,85393.0,135183.3,367.0,128.6,81.68,92.74,1.81,19.76,0.17,9.65,8.0,13.0,92.7,11.3,4284.1,1.76,644.0,1.1688362E7,96.85,10.0,0.0,138001.09,2.0,3.93,4.0,7.86,96.0,188.58,101.0,198.4,480.0,942.88,1453.0,2854.17,328.0,644.3,21.0,41.25,398.76,4482.6
cat487.0,cat7.0,21.0,41690.0,3.0,25725.0,2.94,4.72,93.76,1.2,1.01,13.21,23.55,12.96,15.63,25725.0,100.0,53130.0,76.92,0.75,59.94,36.59,3.99,23.5,61964.0,22444.0,22773.0,16773.0,35195.0,18457.0,12595.0,14304.0,758.0,3.04,2.43,7.96,43.13,4.52,61.75,7.91,36.93,4.43,47.21,3.44,34.99,6.03,4.85,3.32,86.06,86.33,95.74,90.82,67.5,73.99,161.0,0.85,1929.0,6.43,9.9,14.77,17.42,0.48,0.74,1.11,1.31,92.25,0.48,6.61,5.07,2.85,2.98,2.25,86.19,0.48,21.22,3.0,254.0,97.18,82.51,1.18,35.83,1939.0,0.11,0.2,179000.0,219600.0,284300.0,105300.0,372.0,612.0,825.0,453.0,763.0,26.8,22.7,13.3,0.0,0.0,7.5,78.53,69.44,81.09,94.86,129.0,118.95,111.0,112.34,85393.0,135183.3,367.0,128.6,81.68,92.74,1.81,19.76,0.17,9.65,8.0,13.0,92.7,13.5,1904.3,10.43,644.0,1.1688362E7,96.85,10.0,0.0,138001.09,0.0,0.0,3.0,11.32,15.0,56.61,35.0,132.09,70.0,264.18,247.0,932.18,48.0,181.15,0.0,0.0,200.02,1377.51
cat488.0,cat22.0,31.0,47600.0,3.0,36930.0,2.55,46.92,52.36,0.31,0.7,15.59,27.53,14.21,12.51,0.0,0.0,21881.0,75.23,1.13,28.63,28.49,12.92,13.93,27881.0,12028.0,17047.0,6413.0,19859.0,12460.0,6327.0,14313.0,8312.0,23.52,16.94,36.9,18.39,8.28,57.8,26.61,23.97,22.71,24.21,11.76,32.66,14.98,13.57,3.04,54.55,49.05,57.16,58.78,65.02,72.94,3239.0,10.19,316.0,22.15,32.91,32.91,42.09,0.19,0.28,0.28,0.36,96.42,0.67,4.55,3.08,2.44,2.51,2.38,50.64,3.8,50.85,2.0,922.0,94.01,49.32,7.81,34.06,1968.0,9.5,0.31,45800.0,64500.0,89700.0,43900.0,150.0,222.0,294.0,144.0,333.0,28.1,20.7,14.5,30.0,0.0,0.86,82.71,46.94,83.41,92.29,129.0,118.95,111.0,112.34,85393.0,135183.3,367.0,128.6,81.68,92.74,1.81,19.76,0.17,9.65,8.0,13.0,92.7,19.2,1925.8,0.87,644.0,1.1688362E7,96.85,10.0,0.0,138001.09,8.0,20.24,19.0,48.06,186.0,470.48,360.0,910.61,1348.0,3409.72,2695.0,6816.92,266.0,672.84,15.0,37.94,1449.39,10937.42
cat489.0,cat26.0,31.0,47600.0,3.0,30575.0,2.77,2.57,93.7,2.36,4.7,11.66,20.37,9.66,11.25,30575.0,100.0,71905.0,85.84,0.56,70.2,20.61,1.48,9.57,82712.0,43394.0,45044.0,16156.0,21251.0,21088.0,11140.0,11690.0,851.0,2.83,3.64,7.67,55.91,2.08,69.8,10.51,32.77,3.49,49.25,4.44,22.58,7.81,6.19,3.06,88.55,88.01,95.15,86.56,60.46,64.84,176.0,0.82,3340.0,11.26,15.69,21.89,30.21,1.23,1.71,2.39,3.3,85.65,2.28,3.36,2.74,2.73,2.83,2.34,83.18,1.35,22.78,3.0,413.0,96.39,80.39,0.73,22.52,1956.0,0.69,0.14,180400.0,257000.0,402300.0,221900.0,444.0,629.0,927.0,483.0,696.0,25.6,21.4,12.6,0.0,0.0,10.92,64.54,63.01,74.92,89.74,129.0,118.95,111.0,112.34,85393.0,135183.3,367.0,128.6,81.68,92.74,1.81,19.76,0.17,9.65,8.0,13.0,92.7,12.5,2449.9,11.56,644.0,1.1688362E7,96.85,10.0,0.0,138001.09,0.0,0.0,8.0,70.29,7.0,22.81,4.0,13.03,53.0,172.71,420.0,1368.61,34.0,110.79,1.0,3.26,46.52,1655.37
cat490.0,cat11.0,31.0,47600.0,3.0,36793.0,3.42,4.03,54.48,1.6,68.13,17.04,33.32,16.69,7.4,36793.0,100.0,25976.0,80.51,1.18,22.47,20.18,11.32,12.22,26925.0,9244.0,11433.0,6074.0,10066.0,10585.0,6445.0,6411.0,7652.0,21.24,30.07,48.01,9.2,9.83,59.1,3.67,18.35,13.28,14.29,8.95,34.56,14.28,11.59,3.8,70.16,64.08,77.66,76.73,58.15,64.36,1726.0,5.82,11426.0,20.84,34.09,44.16,52.92,6.47,10.59,13.71,16.44,38.92,21.27,18.06,14.0,3.35,3.25,3.45,47.52,29.63,64.35,2.0,2281.0,82.49,49.04,6.53,13.9,1975.0,7.05,0.94,68000.0,83600.0,101900.0,33900.0,309.0,436.0,527.0,218.0,495.0,28.7,23.1,11.8,21.0,7.0,31.05,45.7,42.86,74.85,85.82,129.0,118.95,111.0,112.34,85393.0,135183.3,367.0,128.6,81.68,92.74,1.81,19.76,0.17,9.65,8.0,13.0,92.7,17.6,2084.8,1.14,644.0,1.1688362E7,96.85,10.0,0.0,138001.09,13.0,32.78,31.0,78.18,144.0,363.15,189.0,476.63,691.0,1742.62,1671.0,4214.06,467.0,1177.72,10.0,25.22,950.75,7159.61
cat491.0,cat42.0,31.0,47600.0,3.0,40148.0,2.56,12.83,84.25,1.93,2.11,12.65,30.3,14.37,10.35,40148.0,100.0,34891.0,83.13,0.35,41.44,20.6,5.18,14.88,40116.0,15410.0,16303.0,10220.0,9253.0,13073.0,8243.0,12388.0,3056.0,7.96,8.66,22.1,24.05,3.17,70.74,11.27,24.34,10.25,27.04,11.75,30.17,14.55,13.27,3.03,71.07,68.27,83.39,73.25,67.76,74.01,1234.0,4.82,1312.0,34.83,40.55,47.26,54.27,1.14,1.33,1.54,1.77,94.65,0.86,3.82,2.43,2.45,2.58,2.35,47.83,2.12,46.93,3.0,940.0,94.34,45.5,1.28,21.91,1972.0,5.17,0.43,89000.0,113400.0,143200.0,54200.0,395.0,517.0,597.0,202.0,582.0,25.5,22.1,13.0,43.0,7.0,3.27,53.06,38.81,67.42,77.92,129.0,118.95,111.0,112.34,85393.0,135183.3,367.0,128.6,81.68,92.74,1.81,19.76,0.17,9.65,8.0,13.0,92.7,18.8,2130.4,2.28,644.0,1.1688362E7,96.85,10.0,0.0,138001.09,3.0,6.39,30.0,63.88,88.0,187.37,461.0,981.58,443.0,943.26,1587.0,3379.11,150.0,319.39,19.0,40.46,1239.22,4682.21
cat492.0,cat18.0,31.0,47600.0,3.0,20816.0,2.6,1.44,89.99,8.04,1.44,12.16,19.04,9.14,13.11,20816.0,100.0,61572.0,79.89,0.94,73.54,26.71,1.27,20.06,71136.0,31438.0,32491.0,28390.0,31919.0,21042.0,9429.0,13867.0,476.0,2.3,0.77,3.24,60.32,3.24,61.62,12.74,31.68,2.86,54.52,6.11,22.22,11.0,8.68,2.97,83.51,84.22,95.11,81.51,41.6,56.84,47.0,0.31,2166.0,16.25,24.05,29.96,32.78,1.69,2.5,3.12,3.41,89.85,0.98,2.82,2.17,2.59,2.74,2.05,83.1,0.9,22.64,3.0,314.0,96.23,78.66,0.32,27.71,1964.0,0.2,0.59,237800.0,335900.0,485700.0,247900.0,471.0,571.0,751.0,280.0,607.0,26.2,20.2,11.2,0.0,0.0,10.41,39.48,55.15,78.95,82.66,129.0,118.95,111.0,112.34,85393.0,135183.3,367.0,128.6,81.68,92.74,1.81,19.76,0.17,9.65,8.0,13.0,92.7,6.6,3148.2,6.42,644.0,1.1688362E7,96.85,10.0,0.0,138001.09,0.0,0.0,3.0,14.09,6.0,28.18,13.0,61.06,90.0,422.71,313.0,1470.1,19.0,89.24,7.0,32.88,103.33,2014.94
cat246.0,cat15.0,61.0,27706.0,3.0,18609.0,2.84,43.71,54.35,1.38,0.91,16.38,30.27,14.52,5.8,18609.0,100.0,37050.0,89.29,0.64,40.69,16.92,4.16,13.5,40615.0,15094.0,16305.0,13924.0,0.0,9438.0,766.0,11333.0,1031.0,5.55,3.77,14.96,24.11,5.23,71.49,20.93,22.3,13.29,30.83,8.52,29.87,13.52,11.14,3.29,75.53,71.39,90.73,75.76,75.31,80.68,498.0,3.79,381.0,13.91,20.47,33.6,33.6,0.28,0.42,0.69,0.69,95.31,0.89,6.38,4.9,2.84,3.12,2.31,72.09,1.34,27.82,3.0,357.0,94.83,65.67,0.28,59.66,1969.0,0.86,0.2,55200.0,66000.0,79700.0,24500.0,402.0,469.0,546.0,144.0,550.0,24.3,19.2,10.9,0.0,0.0,2.05,63.49,55.61,82.89,90.25,129.0,118.95,111.0,112.34,85393.0,135183.3,367.0,128.6,81.68,92.74,1.81,19.76,0.17,9.65,8.0,13.0,92.7,6.6,2834.7,3.79,644.0,1.1688362E7,96.85,10.0,0.0,138001.09,1.0,5.27,10.0,52.71,37.0,195.03,14.0,73.8,75.0,395.34,1027.0,5413.53,27.0,142.32,9.0,47.44,326.81,5998.63
cat493.0,cat29.0,31.0,47600.0,3.0,32762.0,2.97,0.59,91.36,5.11,3.13,21.23,44.55,27.93,7.42,32762.0,100.0,21312.0,82.65,2.53,42.71,18.57,4.61,12.77,26178.0,9394.0,9734.0,4162.0,4983.0,5600.0,7257.0,6974.0,6847.0,21.65,2.94,9.64,36.83,6.84,62.38,23.69,35.05,15.45,28.88,5.12,39.12,7.18,6.17,3.36,85.02,85.0,92.17,83.7,65.04,68.12,125.0,0.57,2563.0,45.88,61.69,68.59,76.9,3.59,4.83,5.37,6.02,87.54,1.81,11.26,8.77,2.87,3.09,2.7,46.51,8.88,55.01,2.0,406.0,96.45,43.24,0.25,29.06,1965.0,5.11,0.15,52800.0,67900.0,88600.0,35800.0,215.0,267.0,334.0,119.0,328.0,25.2,19.9,11.6,4.0,0.0,7.82,56.94,33.84,56.86,73.3,129.0,118.95,111.0,112.34,85393.0,135183.3,367.0,128.6,81.68,92.74,1.81,19.76,0.17,9.65,8.0,13.0,92.7,14.6,2238.5,0.92,644.0,1.1688362E7,96.85,10.0,0.0,138001.09,1.0,2.71,9.0,24.4,5.0,13.55,18.0,48.79,131.0,355.1,1162.0,3149.82,30.0,81.32,1.0,2.71,89.45,3588.95
cat494.0,cat4.0,31.0,47600.0,3.0,24727.0,2.7,3.91,93.76,1.11,5.69,12.43,22.53,10.69,15.34,24727.0,100.0,55476.0,77.1,0.7,60.91,33.78,3.93,18.92,68553.0,25929.0,26535.0,13678.0,40598.0,18528.0,11184.0,11464.0,814.0,3.32,5.43,12.32,43.95,3.63,62.03,9.15,32.82,5.47,45.52,4.82,28.97,7.72,6.4,3.27,85.93,85.32,93.82,85.87,51.25,63.61,345.0,1.76,1718.0,4.54,9.72,15.13,22.76,0.32,0.68,1.05,1.58,88.67,1.29,6.48,4.64,2.67,2.99,1.98,76.46,1.96,38.9,3.0,330.0,96.53,68.27,0.91,34.85,1942.0,0.41,0.15,221600.0,278900.0,362800.0,141200.0,396.0,565.0,717.0,321.0,591.0,24.6,22.2,15.0,11.0,1.0,6.95,83.01,73.38,91.42,97.47,129.0,118.95,111.0,112.34,85393.0,135183.3,367.0,128.6,81.68,92.74,1.81,19.76,0.17,9.65,8.0,13.0,92.7,3.4,7276.1,21.8,644.0,1.1688362E7,96.85,10.0,0.0,138001.09,0.0,0.0,1.0,4.0,28.0,111.92,18.0,71.95,86.0,343.77,453.0,1810.77,108.0,431.71,1.0,8.22,187.87,2880.63
cat495.0,cat5.0,13.0,39878.0,3.0,31468.0,2.81,0.69,96.26,2.27,1.05,28.46,47.38,35.57,9.28,0.0,0.0,22476.0,81.0,1.17,48.33,23.9,7.26,11.52,31471.0,10374.0,10607.0,5267.0,5069.0,3788.0,3750.0,4357.0,7036.0,25.16,6.35,15.13,29.17,5.3,63.92,17.4,30.63,17.51,22.7,4.9,56.2,7.64,6.31,2.98,73.28,73.72,83.07,73.43,69.32,74.17,407.0,2.31,1055.0,33.65,45.12,52.99,67.01,1.13,1.51,1.78,2.25,94.37,0.96,3.83,2.38,2.46,2.67,2.24,55.78,2.85,53.51,2.0,468.0,95.99,51.45,1.71,33.33,1960.0,2.01,0.45,49200.0,62100.0,74900.0,25700.0,268.0,348.0,437.0,169.0,385.0,29.9,18.2,11.9,82.0,3.0,3.35,73.26,35.35,55.95,88.12,129.0,118.95,111.0,112.34,85393.0,135183.3,367.0,128.6,81.68,92.74,1.81,19.76,0.17,9.65,8.0,13.0,92.7,11.7,2685.8,2.43,644.0,1.1688362E7,96.85,10.0,0.0,138001.09,0.0,0.0,8.0,70.29,9.0,28.39,26.0,82.02,329.0,1037.89,1762.0,5558.53,108.0,340.7,3.0,9.46,46.52,6946.59
cat496.0,cat24.0,700.0,56000.0,3.0,170045.0,2.66,33.57,62.58,2.33,2.77,13.82,31.25,14.76,8.59,170045.0,100.0,27469.0,82.66,0.3,32.82,19.97,7.74,17.48,31180.0,12711.0,15351.0,8154.0,11662.0,8806.0,9760.0,9523.0,23169.0,14.04,6.89,20.66,18.44,5.93,65.93,20.19,21.72,13.07,26.41,10.56,29.87,14.95,12.83,3.08,68.16,64.41,76.03,69.14,58.43,66.56,7374.0,6.41,6932.0,12.97,21.49,31.06,39.27,0.53,0.88,1.27,1.6,93.02,0.79,3.94,2.83,2.59,2.69,2.49,51.93,3.58,47.5,3.0,5776.0,91.72,50.03,3.83,33.24,1969.0,7.26,0.31,68000.0,85200.0,103800.0,35800.0,282.0,368.0,454.0,172.0,439.0,26.2,22.7,13.0,96.0,39.0,4.08,46.43,41.39,62.84,75.27,263.0,145.36,236.0,130.44,121431.0,67114.9,461.7,145.4,79.69,82.89,15.97,0.76,0.38,17.11,21.0,9.0,54.9,70.8,2401.8,2.9,194.0,1.4212889E7,89.73,10.0,7.98,78554.6,22.0,12.16,103.0,56.93,71.0,39.24,1334.0,737.3,2101.0,1161.22,7267.0,4016.47,684.0,378.05,63.0,34.82,845.63,5590.56
cat497.0,cat36.0,31.0,47600.0,3.0,14917.0,2.6,28.05,71.62,0.18,0.12,15.34,25.95,13.0,15.5,0.0,0.0,20970.0,68.75,0.4,27.35,35.11,8.59,15.14,27771.0,11713.0,13992.0,5811.0,0.0,12713.0,0.0,4052.0,2492.0,17.07,16.55,39.6,14.21,4.75,58.71,50.03,14.93,30.84,18.43,8.61,25.61,13.39,11.29,3.08,67.29,60.3,71.95,75.63,74.76,79.86,677.0,5.22,49.0,0.0,44.9,44.9,44.9,0.0,0.15,0.15,0.15,97.77,0.33,3.97,2.87,2.55,2.62,2.41,66.77,3.67,43.01,3.0,425.0,93.11,64.84,2.35,32.71,1966.0,9.17,0.84,33300.0,47900.0,71400.0,38100.0,111.0,174.0,245.0,134.0,263.0,21.4,16.6,12.7,0.0,0.0,0.33,87.64,58.85,87.2,94.33,129.0,118.95,111.0,112.34,85393.0,135183.3,367.0,128.6,81.68,92.74,1.81,19.76,0.17,9.65,8.0,13.0,92.7,40.2,370.6,0.25,644.0,1.1688362E7,96.85,10.0,0.0,138001.09,4.0,26.29,1.0,6.57,11.0,72.29,36.0,236.59,56.0,368.03,77.0,506.05,4.0,26.29,0.0,0.0,341.75,900.37
